"","species","temp_light","growth_rate","temp","light","type","salinity"
"1","Caloneis schroderi","5.5000",-0.01,"5°C","5000","freshwater","0"
"2","Chaetoceros gracilis","5.5000",-0.01,"5°C","5000","marine","35"
"3","Chaetoceros simplex","5.5000",-0.06,"5°C","5000","marine","35"
"4","Chlorella ellipsoidea","5.5000",0.03,"5°C","5000","freshwater","0"
"5","Chlorella stigmatophora","5.5000",0.01,"5°C","5000","marine","35"
"6","Chlorella vulgaris (freshwater)","5.5000",-0.25,"5°C","5000","freshwater","0"
"7","Dunaniella tertiolecta","5.5000",0.28,"5°C","5000","marine","35"
"8","Cyclotella sp. NUFP-9","5.5000",0.16,"5°C","5000","freshwater","0"
"9","Hanzchia marina","5.5000",-0.36,"5°C","5000","marine","35"
"10","Isochrysis galbana","5.5000",-0.57,"5°C","5000","marine","35"
"11","Isochrysis aff. galbana","5.5000",-0.62,"5°C","5000","marine","35"
"12","Nannochlorois oculata","5.5000",0.01,"5°C","5000","marine","35"
"13","Nannochloris salina","5.5000",0.06,"5°C","5000","marine","35"
"14","Navicula incerta","5.5000",0.16,"5°C","5000","marine","35"
"15","Nitzscia sp.","5.5000",-0.1,"5°C","5000","marine","35"
"16","Skeletonema costatum","5.5000",0.29,"5°C","5000","marine","35"
"17","Tetraselmus suecica","5.5000",0.04,"5°C","5000","marine","35"
"18","Thalassiosira fluviatilis","5.5000",0.03,"5°C","5000","marine","35"
"19","Thalassiosira sp.","5.5000",-0.29,"5°C","5000","marine","35"
"20","Caloneis schroderi","5.2500",-0.5,"5°C","2500","freshwater","0"
"21","Chaetoceros gracilis","5.2500",-0.05,"5°C","2500","marine","35"
"22","Chaetoceros simplex","5.2500",-0.01,"5°C","2500","marine","35"
"23","Chlorella ellipsoidea","5.2500",0.02,"5°C","2500","freshwater","0"
"24","Chlorella stigmatophora","5.2500",0.24,"5°C","2500","marine","35"
"25","Chlorella vulgaris (freshwater)","5.2500",0,"5°C","2500","freshwater","0"
"26","Dunaniella tertiolecta","5.2500",0.17,"5°C","2500","marine","35"
"27","Cyclotella sp. NUFP-9","5.2500",0.08,"5°C","2500","freshwater","0"
"28","Hanzchia marina","5.2500",-0.07,"5°C","2500","marine","35"
"29","Isochrysis galbana","5.2500",-0.07,"5°C","2500","marine","35"
"30","Isochrysis aff. galbana","5.2500",-0.67,"5°C","2500","marine","35"
"31","Nannochlorois oculata","5.2500",-0.03,"5°C","2500","marine","35"
"32","Nannochloris salina","5.2500",0.07,"5°C","2500","marine","35"
"33","Navicula incerta","5.2500",0.2,"5°C","2500","marine","35"
"34","Nitzscia sp.","5.2500",0.12,"5°C","2500","marine","35"
"35","Skeletonema costatum","5.2500",0.34,"5°C","2500","marine","35"
"36","Tetraselmus suecica","5.2500",-0.02,"5°C","2500","marine","35"
"37","Thalassiosira fluviatilis","5.2500",0.06,"5°C","2500","marine","35"
"38","Thalassiosira sp.","5.2500",-0.17,"5°C","2500","marine","35"
"39","Caloneis schroderi","10.5000",-0.1,"10°C","5000","freshwater","0"
"40","Chaetoceros gracilis","10.5000",0.16,"10°C","5000","marine","35"
"41","Chaetoceros simplex","10.5000",0.27,"10°C","5000","marine","35"
