species,type,salinity
Caloneis schroderi,freshwater,0
Chaetoceros gracilis,marine,35
Chaetoceros simplex,marine,35
Chlorella ellipsoidea,freshwater,0
Chlorella stigmatophora,marine,35
Chlorella vulgaris (freshwater),freshwater,0
Dunaniella tertiolecta,marine,35
Cyclotella sp. NUFP-9,freshwater,0
Hanzchia marina,marine,35
Isochrysis galbana,marine,35
Isochrysis aff. galbana,marine,35
Nannochlorois oculata,marine,35
Nannochloris salina,marine,35
Navicula incerta,marine,35
Nitzscia sp.,marine,35
Skeletonema costatum,marine,35
Tetraselmus suecica,marine,35
Thalassiosira fluviatilis,marine,35
Thalassiosira sp.,marine,35
