UnitID,Institution Name,Black or African American total (EF2017A  All students  Undergraduate total),Grand total (EF2017A  All students  Undergraduate total),Black or African American total (EF2016A_RV  All students  Undergraduate total),Grand total (EF2016A_RV  All students  Undergraduate total),Black or African American total (EF2015A_RV  All students  Undergraduate total),Grand total (EF2015A_RV  All students  Undergraduate total),Black or African American total (EF2014A_RV  All students  Undergraduate total),Grand total (EF2014A_RV  All students  Undergraduate total),Black or African American total (EF2013A_RV  All students  Undergraduate total),Grand total (EF2013A_RV  All students  Undergraduate total),Black or African American total (EF2012A_RV  All students  Undergraduate total),Grand total (EF2012A_RV  All students  Undergraduate total),Black or African American total (EF2011A_RV  All students  Undergraduate total),Grand total (EF2011A_RV  All students  Undergraduate total),Black or African American total (EF2010A_RV  All students  Undergraduate total),Grand total (EF2010A_RV  All students  Undergraduate total),
217156,Brown University,433,6988,434,6926,426,6652,422,6548,402,6455,377,6435,367,6380,368,6318,
190150,Columbia University in the City of New York,614,8170,603,8124,619,8102,588,8100,597,7970,621,7814,631,8127,645,7950,
190415,Cornell University,978,14907,917,14566,862,14315,847,14282,840,14393,828,14261,789,14167,735,13935,
182670,Dartmouth College,290,4410,293,4310,285,4307,284,4289,273,4276,294,4193,312,4194,331,4248,
166027,Harvard University,689,9965,660,9915,628,10255,653,10338,642,10534,632,10478,632,10305,645,10265,
166683,Massachusetts Institute of Technology,283,4547,269,4524,254,4527,251,4512,239,4528,278,4503,302,4384,332,4299,
186131,Princeton University,409,5394,416,5400,406,5402,406,5391,401,5323,392,5327,382,5203,388,5142,
243744,Stanford University,471,7064,449,7034,425,7000,415,7019,444,7274,441,7063,509,6988,485,6940,
144050,University of Chicago,334,6310,320,6001,296,5883,272,5738,258,5703,253,5618,252,5402,272,5270,
215062,University of Pennsylvania,832,11716,859,11716,818,11588,805,11548,808,11525,814,11678,838,11765,866,11940,
130794,Yale University,404,5746,374,5472,376,5532,371,5477,365,5430,354,5405,336,5349,316,5310,
