date,police_fatalities,civilian_fatalities
1/1/2016,0,1
1/2/2016,0,3
1/3/2016,0,1
1/4/2016,0,2
1/5/2016,0,6
1/6/2016,0,3
1/7/2016,0,0
1/8/2016,0,2
1/9/2016,0,0
1/10/2016,0,2
1/11/2016,0,4
1/12/2016,0,2
1/13/2016,0,2
1/14/2016,0,2
1/15/2016,0,2
1/16/2016,0,6
1/17/2016,2,5
1/18/2016,0,5
1/19/2016,0,3
1/20/2016,0,3
1/21/2016,0,1
1/22/2016,0,0
1/23/2016,0,1
1/24/2016,0,0
1/25/2016,0,1
1/26/2016,0,1
1/27/2016,0,8
1/28/2016,0,3
1/29/2016,0,3
1/30/2016,0,4
1/31/2016,0,5
2/1/2016,0,2
2/2/2016,0,1
2/3/2016,0,3
2/4/2016,0,5
2/5/2016,1,4
2/6/2016,0,1
2/7/2016,0,3
2/8/2016,1,3
2/9/2016,0,2
2/10/2016,2,5
2/11/2016,2,3
2/12/2016,0,3
2/13/2016,0,4
2/14/2016,0,3
2/15/2016,0,2
2/16/2016,0,3
2/17/2016,0,1
2/18/2016,0,4
2/19/2016,0,2
2/20/2016,1,4
2/21/2016,0,5
2/22/2016,0,4
2/23/2016,0,4
2/24/2016,1,5
2/25/2016,0,4
2/26/2016,0,2
2/27/2016,1,1
2/28/2016,0,2
2/29/2016,0,1
3/1/2016,1,3
3/2/2016,0,2
3/3/2016,0,1
3/4/2016,0,2
3/5/2016,0,2
3/6/2016,1,3
3/7/2016,0,5
3/8/2016,0,1
3/9/2016,0,0
3/10/2016,0,5
3/11/2016,0,4
3/12/2016,0,3
3/13/2016,1,7
3/14/2016,0,1
3/15/2016,0,3
3/16/2016,0,3
3/17/2016,0,4
3/18/2016,1,2
3/19/2016,0,4
3/20/2016,1,4
3/21/2016,0,3
3/22/2016,0,2
3/23/2016,0,3
3/24/2016,0,6
3/25/2016,0,0
3/26/2016,0,4
3/27/2016,0,5
3/28/2016,0,0
3/29/2016,0,3
3/30/2016,0,3
3/31/2016,1,4
4/1/2016,0,2
4/2/2016,0,1
4/3/2016,0,4
4/4/2016,0,1
4/5/2016,0,2
4/6/2016,0,3
4/7/2016,0,2
4/8/2016,0,3
4/9/2016,0,2
4/10/2016,0,3
4/11/2016,0,2
4/12/2016,1,3
4/13/2016,0,3
4/14/2016,0,1
4/15/2016,0,3
4/16/2016,0,1
4/17/2016,0,5
4/18/2016,0,2
4/19/2016,0,3
4/20/2016,0,2
4/21/2016,0,1
4/22/2016,0,2
4/23/2016,0,5
4/24/2016,0,0
4/25/2016,0,1
4/26/2016,0,4
4/27/2016,0,3
4/28/2016,0,4
4/29/2016,0,1
4/30/2016,0,4
5/1/2016,0,2
5/2/2016,0,1
5/3/2016,0,1
5/4/2016,0,4
5/5/2016,0,3
5/6/2016,0,1
5/7/2016,0,3
5/8/2016,0,1
5/9/2016,1,6
5/10/2016,0,1
5/11/2016,0,4
5/12/2016,0,0
5/13/2016,0,1
5/14/2016,0,4
5/15/2016,0,1
5/16/2016,0,1
5/17/2016,0,1
5/18/2016,0,3
5/19/2016,1,5
5/20/2016,0,1
5/21/2016,0,3
5/22/2016,1,4
5/23/2016,0,1
5/24/2016,0,3
5/25/2016,0,2
5/26/2016,0,7
5/27/2016,0,1
5/28/2016,0,2
5/29/2016,0,4
5/30/2016,0,2
5/31/2016,0,1
6/1/2016,0,3
6/2/2016,0,2
6/3/2016,0,2
6/4/2016,0,3
6/5/2016,0,1
6/6/2016,0,2
6/7/2016,0,4
6/8/2016,0,1
6/9/2016,0,5
6/10/2016,0,4
6/11/2016,0,2
6/12/2016,0,3
6/13/2016,0,4
6/14/2016,0,4
6/15/2016,0,2
6/16/2016,0,4
6/17/2016,0,0
6/18/2016,0,3
6/19/2016,0,2
6/20/2016,0,2
6/21/2016,0,3
6/22/2016,1,6
6/23/2016,0,3
6/24/2016,0,5
6/25/2016,0,4
6/26/2016,0,4
6/27/2016,0,5
6/28/2016,0,2
6/29/2016,0,4
6/30/2016,0,3
7/1/2016,0,3
7/2/2016,0,2
7/3/2016,0,3
7/4/2016,0,4
7/5/2016,0,4
7/6/2016,0,2
7/7/2016,4,3
7/8/2016,1,1
7/9/2016,0,1
7/10/2016,0,1
7/11/2016,2,5
7/12/2016,0,1
7/13/2016,0,2
7/14/2016,0,1
7/15/2016,0,1
7/16/2016,0,3
7/17/2016,3,4
7/18/2016,0,1
7/19/2016,1,0
7/20/2016,0,1
7/21/2016,0,2
7/22/2016,0,1
7/23/2016,0,3
7/24/2016,0,2
