movie_year,set_year,movie
2002,1917,Doctor Zhivago
2003,1720,Pirates of the Caribbean
2004,1410,King Arthur
2005,1992,The Jacket
2005,1797,Pride and Prejudice
2007,1935,Atonement
2007,1840,Silk
2008,1940,The Edge of Love
2008,1774,The Duchess
2010,1978,Never Let Me Go
2011,1904,A Dangerous Method
2012,1874,Anna Karenina
2014,2001,Jack Ryan: Shadow Recruit
2014,1939,The Imitation Game
2015,1996,Everest
2016,2016,Collateral Beauty
2018,1893,Colette
2019,2003,Official Secrets
2019,1945,The Aftermath
2020,1970,Misbehaviour
