"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	10	4430141	0.2 (Unreliable)
	"1999"	"1999"	"California"	"06"	43	33499204	0.1
	"1999"	"1999"	"Florida"	"12"	35	15759421	0.2
	"1999"	"1999"	"Georgia"	"13"	26	8045965	0.3
	"1999"	"1999"	"Illinois"	"17"	18	12359020	0.1 (Unreliable)
	"1999"	"1999"	"Michigan"	"26"	11	9897116	0.1 (Unreliable)
	"1999"	"1999"	"New York"	"36"	37	18882725	0.2
	"1999"	"1999"	"North Carolina"	"37"	15	7949361	0.2 (Unreliable)
	"1999"	"1999"	"Ohio"	"39"	17	11335454	0.1 (Unreliable)
	"1999"	"1999"	"Pennsylvania"	"42"	13	12263805	0.1 (Unreliable)
	"1999"	"1999"	"South Carolina"	"45"	10	3974682	0.3 (Unreliable)
	"1999"	"1999"	"Tennessee"	"47"	12	5638706	0.2 (Unreliable)
	"1999"	"1999"	"Texas"	"48"	34	20558220	0.2
	"1999"	"1999"	"Virginia"	"51"	12	7000174	0.2 (Unreliable)
"Total"	"1999"	"1999"			406	279040168	0.1
	"2000"	"2000"	"California"	"06"	56	33871648	0.2
	"2000"	"2000"	"Florida"	"12"	29	15982378	0.2
	"2000"	"2000"	"Georgia"	"13"	21	8186453	0.3
	"2000"	"2000"	"Illinois"	"17"	19	12419293	0.2 (Unreliable)
	"2000"	"2000"	"Maryland"	"24"	15	5296486	0.3 (Unreliable)
	"2000"	"2000"	"New Jersey"	"34"	12	8414350	0.1 (Unreliable)
	"2000"	"2000"	"New York"	"36"	23	18976457	0.1
	"2000"	"2000"	"North Carolina"	"37"	14	8049313	0.2 (Unreliable)
	"2000"	"2000"	"Ohio"	"39"	19	11353140	0.2 (Unreliable)
	"2000"	"2000"	"Texas"	"48"	30	20851820	0.1
	"2000"	"2000"	"Virginia"	"51"	10	7078515	0.1 (Unreliable)
"Total"	"2000"	"2000"			404	281421906	0.1
	"2001"	"2001"	"California"	"06"	46	34479458	0.1
	"2001"	"2001"	"Florida"	"12"	21	16356966	0.1
	"2001"	"2001"	"Georgia"	"13"	40	8377038	0.5
	"2001"	"2001"	"Illinois"	"17"	21	12488445	0.2
	"2001"	"2001"	"Louisiana"	"22"	10	4477875	0.2 (Unreliable)
	"2001"	"2001"	"Maryland"	"24"	12	5374691	0.2 (Unreliable)
	"2001"	"2001"	"Mississippi"	"28"	12	2852994	0.4 (Unreliable)
	"2001"	"2001"	"Missouri"	"29"	10	5641142	0.2 (Unreliable)
	"2001"	"2001"	"New Jersey"	"34"	10	8492671	0.1 (Unreliable)
	"2001"	"2001"	"New York"	"36"	41	19082838	0.2
	"2001"	"2001"	"Pennsylvania"	"42"	12	12298970	0.1 (Unreliable)
	"2001"	"2001"	"Tennessee"	"47"	11	5750789	0.2 (Unreliable)
	"2001"	"2001"	"Texas"	"48"	41	21319622	0.2
"Total"	"2001"	"2001"			416	284968955	0.1
	"2002"	"2002"	"California"	"06"	56	34871843	0.2
	"2002"	"2002"	"Florida"	"12"	23	16689370	0.1
	"2002"	"2002"	"Georgia"	"13"	25	8508256	0.3
	"2002"	"2002"	"Illinois"	"17"	12	12525556	0.1 (Unreliable)
	"2002"	"2002"	"Maryland"	"24"	11	5440389	0.2 (Unreliable)
	"2002"	"2002"	"Michigan"	"26"	12	10015710	0.1 (Unreliable)
	"2002"	"2002"	"New York"	"36"	26	19137800	0.1
	"2002"	"2002"	"North Carolina"	"37"	18	8326201	0.2 (Unreliable)
	"2002"	"2002"	"Ohio"	"39"	12	11407889	0.1 (Unreliable)
	"2002"	"2002"	"Pennsylvania"	"42"	11	12331031	0.1 (Unreliable)
	"2002"	"2002"	"Tennessee"	"47"	10	5795918	0.2 (Unreliable)
	"2002"	"2002"	"Texas"	"48"	35	21690325	0.2
"Total"	"2002"	"2002"			379	287625193	0.1
	"2003"	"2003"	"California"	"06"	94	35253159	0.3
	"2003"	"2003"	"Colorado"	"08"	10	4528732	0.2 (Unreliable)
	"2003"	"2003"	"Florida"	"12"	25	17004085	0.1
	"2003"	"2003"	"Georgia"	"13"	39	8622793	0.5
	"2003"	"2003"	"Illinois"	"17"	13	12556006	0.1 (Unreliable)
	"2003"	"2003"	"Louisiana"	"22"	12	4521042	0.3 (Unreliable)
	"2003"	"2003"	"Maryland"	"24"	20	5496269	0.4
	"2003"	"2003"	"Michigan"	"26"	16	10041152	0.2 (Unreliable)
	"2003"	"2003"	"New Jersey"	"34"	10	8601402	0.1 (Unreliable)
	"2003"	"2003"	"New York"	"36"	56	19175939	0.3
	"2003"	"2003"	"North Carolina"	"37"	16	8422501	0.2 (Unreliable)
