"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	10	4430141	0.226 (Unreliable)
	"1999"	"1999"	"California"	"06"	43	33499204	0.128
	"1999"	"1999"	"Florida"	"12"	35	15759421	0.222
	"1999"	"1999"	"Georgia"	"13"	26	8045965	0.323
	"1999"	"1999"	"Illinois"	"17"	18	12359020	0.146 (Unreliable)
	"1999"	"1999"	"Michigan"	"26"	11	9897116	0.111 (Unreliable)
	"1999"	"1999"	"New York"	"36"	37	18882725	0.196
	"1999"	"1999"	"North Carolina"	"37"	15	7949361	0.189 (Unreliable)
	"1999"	"1999"	"Ohio"	"39"	17	11335454	0.150 (Unreliable)
	"1999"	"1999"	"Pennsylvania"	"42"	13	12263805	0.106 (Unreliable)
	"1999"	"1999"	"South Carolina"	"45"	10	3974682	0.252 (Unreliable)
	"1999"	"1999"	"Tennessee"	"47"	12	5638706	0.213 (Unreliable)
	"1999"	"1999"	"Texas"	"48"	34	20558220	0.165
	"1999"	"1999"	"Virginia"	"51"	12	7000174	0.171 (Unreliable)
"Total"	"1999"	"1999"			406	279040168	0.145
	"2000"	"2000"	"California"	"06"	56	33871648	0.165
	"2000"	"2000"	"Florida"	"12"	29	15982378	0.181
	"2000"	"2000"	"Georgia"	"13"	21	8186453	0.257
	"2000"	"2000"	"Illinois"	"17"	19	12419293	0.153 (Unreliable)
	"2000"	"2000"	"Maryland"	"24"	15	5296486	0.283 (Unreliable)
	"2000"	"2000"	"New Jersey"	"34"	12	8414350	0.143 (Unreliable)
	"2000"	"2000"	"New York"	"36"	23	18976457	0.121
	"2000"	"2000"	"North Carolina"	"37"	14	8049313	0.174 (Unreliable)
	"2000"	"2000"	"Ohio"	"39"	19	11353140	0.167 (Unreliable)
	"2000"	"2000"	"Texas"	"48"	30	20851820	0.144
	"2000"	"2000"	"Virginia"	"51"	10	7078515	0.141 (Unreliable)
"Total"	"2000"	"2000"			404	281421906	0.144
	"2001"	"2001"	"California"	"06"	46	34479458	0.133
	"2001"	"2001"	"Florida"	"12"	21	16356966	0.128
	"2001"	"2001"	"Georgia"	"13"	40	8377038	0.477
	"2001"	"2001"	"Illinois"	"17"	21	12488445	0.168
	"2001"	"2001"	"Louisiana"	"22"	10	4477875	0.223 (Unreliable)
	"2001"	"2001"	"Maryland"	"24"	12	5374691	0.223 (Unreliable)
	"2001"	"2001"	"Mississippi"	"28"	12	2852994	0.421 (Unreliable)
	"2001"	"2001"	"Missouri"	"29"	10	5641142	0.177 (Unreliable)
	"2001"	"2001"	"New Jersey"	"34"	10	8492671	0.118 (Unreliable)
	"2001"	"2001"	"New York"	"36"	41	19082838	0.215
	"2001"	"2001"	"Pennsylvania"	"42"	12	12298970	0.098 (Unreliable)
	"2001"	"2001"	"Tennessee"	"47"	11	5750789	0.191 (Unreliable)
	"2001"	"2001"	"Texas"	"48"	41	21319622	0.192
"Total"	"2001"	"2001"			416	284968955	0.146
	"2002"	"2002"	"California"	"06"	56	34871843	0.161
	"2002"	"2002"	"Florida"	"12"	23	16689370	0.138
	"2002"	"2002"	"Georgia"	"13"	25	8508256	0.294
	"2002"	"2002"	"Illinois"	"17"	12	12525556	0.096 (Unreliable)
	"2002"	"2002"	"Maryland"	"24"	11	5440389	0.202 (Unreliable)
	"2002"	"2002"	"Michigan"	"26"	12	10015710	0.120 (Unreliable)
	"2002"	"2002"	"New York"	"36"	26	19137800	0.136
	"2002"	"2002"	"North Carolina"	"37"	18	8326201	0.216 (Unreliable)
	"2002"	"2002"	"Ohio"	"39"	12	11407889	0.105 (Unreliable)
	"2002"	"2002"	"Pennsylvania"	"42"	11	12331031	0.089 (Unreliable)
	"2002"	"2002"	"Tennessee"	"47"	10	5795918	0.173 (Unreliable)
	"2002"	"2002"	"Texas"	"48"	35	21690325	0.161
"Total"	"2002"	"2002"			379	287625193	0.132
	"2003"	"2003"	"California"	"06"	94	35253159	0.267
	"2003"	"2003"	"Colorado"	"08"	10	4528732	0.221 (Unreliable)
	"2003"	"2003"	"Florida"	"12"	25	17004085	0.147
	"2003"	"2003"	"Georgia"	"13"	39	8622793	0.452
	"2003"	"2003"	"Illinois"	"17"	13	12556006	0.104 (Unreliable)
	"2003"	"2003"	"Louisiana"	"22"	12	4521042	0.265 (Unreliable)
	"2003"	"2003"	"Maryland"	"24"	20	5496269	0.364
	"2003"	"2003"	"Michigan"	"26"	16	10041152	0.159 (Unreliable)
	"2003"	"2003"	"New Jersey"	"34"	10	8601402	0.116 (Unreliable)
	"2003"	"2003"	"New York"	"36"	56	19175939	0.292
	"2003"	"2003"	"North Carolina"	"37"	16	8422501	0.190 (Unreliable)
	"2003"	"2003"	"Ohio"	"39"	14	11434788	0.122 (Unreliable)
	"2003"	"2003"	"Pennsylvania"	"42"	21	12374658	0.170
	"2003"	"2003"	"Texas"	"48"	60	22030931	0.272
	"2003"	"2003"	"Wisconsin"	"55"	11	5479203	0.201 (Unreliable)
"Total"	"2003"	"2003"			545	290107933	0.188
	"2004"	"2004"	"California"	"06"	150	35574576	0.422
	"2004"	"2004"	"Florida"	"12"	36	17415318	0.207
	"2004"	"2004"	"Georgia"	"13"	17	8769252	0.194 (Unreliable)
	"2004"	"2004"	"Illinois"	"17"	17	12589773	0.135 (Unreliable)
	"2004"	"2004"	"Louisiana"	"22"	26	4552238	0.571
	"2004"	"2004"	"Maryland"	"24"	17	5546935	0.306 (Unreliable)
	"2004"	"2004"	"Michigan"	"26"	57	10055315	0.567
	"2004"	"2004"	"Mississippi"	"28"	11	2889010	0.381 (Unreliable)
	"2004"	"2004"	"Montana"	"30"	10	930009	1.075 (Unreliable)
	"2004"	"2004"	"New Jersey"	"34"	40	8634561	0.463
	"2004"	"2004"	"New York"	"36"	78	19171567	0.407
	"2004"	"2004"	"Oklahoma"	"40"	15	3525233	0.426 (Unreliable)
	"2004"	"2004"	"Pennsylvania"	"42"	14	12410722	0.113 (Unreliable)
	"2004"	"2004"	"Texas"	"48"	48	22394023	0.214
	"2004"	"2004"	"Washington"	"53"	16	6178645	0.259 (Unreliable)
"Total"	"2004"	"2004"			697	292805298	0.238
	"2005"	"2005"	"Alabama"	"01"	12	4569805	0.263 (Unreliable)
	"2005"	"2005"	"California"	"06"	119	35827943	0.332
	"2005"	"2005"	"Florida"	"12"	59	17842038	0.331
	"2005"	"2005"	"Georgia"	"13"	32	8925922	0.359
