Name,Code,State,Local,RTA,Rate,Effective Date,Expiration Date
ADAMS COUNTY,0100,0.065,0.012,0,0.077,20181001,20181231
HATTON,0101,0.065,0.012,0,0.077,20181001,20181231
LIND,0102,0.065,0.012,0,0.077,20181001,20181231
OTHELLO,0103,0.065,0.014,0,0.079,20181001,20181231
RITZVILLE,0104,0.065,0.012,0,0.077,20181001,20181231
WASHTUCNA,0105,0.065,0.012,0,0.077,20181001,20181231
ASOTIN COUNTY,0200,0.065,0.012,0,0.077,20181001,20181231
ASOTIN CITY,0201,0.065,0.012,0,0.077,20181001,20181231
CLARKSTON,0202,0.065,0.014,0,0.079,20181001,20181231
BENTON COUNTY,0300,0.065,0.015,0,0.08,20181001,20181231
BENTON CITY,0301,0.065,0.021,0,0.086,20181001,20181231
KENNEWICK,0302,0.065,0.021,0,0.086,20181001,20181231
PROSSER,0303,0.065,0.021,0,0.086,20181001,20181231
RICHLAND,0304,0.065,0.021,0,0.086,20181001,20181231
WEST RICHLAND,0305,0.065,0.021,0,0.086,20181001,20181231
BENTON-PTBA,0333,0.065,0.021,0,0.086,20181001,20181231
BENTON COUNTY - MVET,0350,0.065,0.012,0,0.077,20181001,20181231
BENTON CITY - MVET,0351,0.065,0.018,0,0.083,20181001,20181231
KENNEWICK - MVET,0352,0.065,0.018,0,0.083,20181001,20181231
PROSSER - MVET,0353,0.065,0.018,0,0.083,20181001,20181231
RICHLAND - MVET,0354,0.065,0.018,0,0.083,20181001,20181231
WEST RICHLAND - MVET,0355,0.065,0.018,0,0.083,20181001,20181231
BENTON COUNTY PTBA - MVET,0383,0.065,0.018,0,0.083,20181001,20181231
CHELAN COUNTY,0400,0.065,0.017,0,0.082,20181001,20181231
CASHMERE,0401,0.065,0.017,0,0.082,20181001,20181231
CHELAN CITY,0402,0.065,0.017,0,0.082,20181001,20181231
ENTIAT,0403,0.065,0.017,0,0.082,20181001,20181231
LEAVENWORTH,0404,0.065,0.019,0,0.084,20181001,20181231
WENATCHEE,0405,0.065,0.019,0,0.084,20181001,20181231
LEAVENWORTH - MVET,0454,0.065,0.018,0,0.083,20181001,20181231
CLALLAM COUNTY,0500,0.065,0.02,0,0.085,20181001,20181231
FORKS,0501,0.065,0.02,0,0.085,20181001,20181231
PORT ANGELES,0502,0.065,0.022,0,0.087,20181001,20181231
SEQUIM,0503,0.065,0.023,0,0.088,20181001,20181231
SEQUIM - MVET,0563,0.065,0.022,0,0.087,20181001,20181231
CLARK COUNTY,0600,0.065,0.012,0,0.077,20181001,20181231
BATTLE GROUND,0601,0.065,0.019,0,0.084,20181001,20181231
CAMAS,0602,0.065,0.019,0,0.084,20181001,20181231
LA CENTER,0603,0.065,0.019,0,0.084,20181001,20181231
RIDGEFIELD,0604,0.065,0.019,0,0.084,20181001,20181231
VANCOUVER,0605,0.065,0.019,0,0.084,20181001,20181231
WASHOUGAL,0606,0.065,0.019,0,0.084,20181001,20181231
YACOLT,0607,0.065,0.019,0,0.084,20181001,20181231
CLARK-PTBA,0666,0.065,0.019,0,0.084,20181001,20181231
COLUMBIA COUNTY,0700,0.065,0.017,0,0.082,20181001,20181231
DAYTON,0701,0.065,0.019,0,0.084,20181001,20181231
STARBUCK,0702,0.065,0.017,0,0.082,20181001,20181231
COWLITZ COUNTY,0800,0.065,0.013,0,0.078,20181001,20181231
CASTLE ROCK,0801,0.065,0.015,0,0.08,20181001,20181231
KALAMA,0802,0.065,0.014,0,0.079,20181001,20181231
KELSO,0803,0.065,0.016,0,0.081,20181001,20181231
LONGVIEW,0804,0.065,0.016,0,0.081,20181001,20181231
WOODLAND,0805,0.065,0.014,0,0.079,20181001,20181231
KALAMA - MVET,0862,0.065,0.013,0,0.078,20181001,20181231
WOODLAND MVET,0865,0.065,0.013,0,0.078,20181001,20181231
DOUGLAS COUNTY,0900,0.065,0.013,0,0.078,20181001,20181231
BRIDGEPORT,0901,0.065,0.012,0,0.077,20181001,20181231
EAST WENATCHEE,0902,0.065,0.017,0,0.082,20181001,20181231
MANSFIELD,0903,0.065,0.012,0,0.077,20181001,20181231
ROCK ISLAND,0904,0.065,0.017,0,0.082,20181001,20181231
WATERVILLE,0905,0.065,0.017,0,0.082,20181001,20181231
DOUGLAS-PTBA,0909,0.065,0.017,0,0.082,20181001,20181231
FERRY COUNTY,1000,0.065,0.012,0,0.077,20181001,20181231
REPUBLIC,1001,0.065,0.012,0,0.077,20181001,20181231
FRANKLIN COUNTY,1100,0.065,0.015,0,0.08,20181001,20181231
CONNELL,1101,0.065,0.017,0,0.082,20181001,20181231
KAHLOTUS,1102,0.065,0.015,0,0.08,20181001,20181231
MESA,1103,0.065,0.015,0,0.08,20181001,20181231
PASCO,1104,0.065,0.021,0,0.086,20181001,20181231
FRANKLIN-PTBA,1111,0.065,0.021,0,0.086,20181001,20181231
FRANKLIN COUNTY - MVET,1150,0.065,0.012,0,0.077,20181001,20181231
CONNELL - MVET,1151,0.065,0.014,0,0.079,20181001,20181231
KAHLOTUS - MVET,1152,0.065,0.012,0,0.077,20181001,20181231
MESA - MVET,1153,0.065,0.012,0,0.077,20181001,20181231
PASCO - MVET,1154,0.065,0.018,0,0.083,20181001,20181231
FRANKLIN-PTBA - MVET,1161,0.065,0.018,0,0.083,20181001,20181231
GARFIELD COUNTY,1200,0.065,0.014,0,0.079,20181001,20181231
POMEROY,1201,0.065,0.014,0,0.079,20181001,20181231
GRANT COUNTY,1300,0.065,0.014,0,0.079,20181001,20181231
COULEE CITY,1301,0.065,0.014,0,0.079,20181001,20181231
ELECTRIC CITY,1302,0.065,0.014,0,0.079,20181001,20181231
EPHRATA,1303,0.065,0.015,0,0.08,20181001,20181231
GEORGE,1304,0.065,0.014,0,0.079,20181001,20181231
GRAND COULEE,1305,0.065,0.016,0,0.081,20181001,20181231
HARTLINE,1306,0.065,0.014,0,0.079,20181001,20181231
KRUPP,1307,0.065,0.014,0,0.079,20181001,20181231
MATTAWA,1308,0.065,0.016,0,0.081,20181001,20181231
MOSES LAKE,1309,0.065,0.016,0,0.081,20181001,20181231
QUINCY,1310,0.065,0.014,0,0.079,20181001,20181231
ROYAL CITY,1311,0.065,0.014,0,0.079,20181001,20181231
SOAP LAKE,1312,0.065,0.014,0,0.079,20181001,20181231
WARDEN,1313,0.065,0.014,0,0.079,20181001,20181231
WILSON CREEK,1315,0.065,0.014,0,0.079,20181001,20181231
EPHRATA - MVET,1353,0.065,0.014,0,0.079,20181001,20181231
GRAYS HARBOR COUNTY,1400,0.065,0.023,0,0.088,20181001,20181231
ABERDEEN,1401,0.065,0.0243,0,0.0893,20181001,20181231
COSMOPOLIS,1402,0.065,0.023,0,0.088,20181001,20181231
ELMA,1403,0.065,0.023,0,0.088,20181001,20181231
HOQUIAM,1404,0.065,0.023,0,0.088,20181001,20181231
MCCLEARY,1405,0.065,0.023,0,0.088,20181001,20181231
MONTESANO,1406,0.065,0.023,0,0.088,20181001,20181231
OAKVILLE,1407,0.065,0.023,0,0.088,20181001,20181231
WESTPORT,1408,0.065,0.023,0,0.088,20181001,20181231
OCEAN SHORES,1409,0.065,0.023,0,0.088,20181001,20181231
GRAYS HARBOR COUNTY-MVET,1450,0.065,0.02,0,0.085,20181001,20181231
ABERDEEN - MVET,1451,0.065,0.0213,0,0.0863,20181001,20181231
COSMOPOLIS - MVET,1452,0.065,0.02,0,0.085,20181001,20181231
ELMA - MVET,1453,0.065,0.02,0,0.085,20181001,20181231
HOQUIAM - MVET,1454,0.065,0.02,0,0.085,20181001,20181231
MCCLEARY - MVET,1455,0.065,0.02,0,0.085,20181001,20181231
MONTESANO - MVET,1456,0.065,0.02,0,0.085,20181001,20181231
OAKVILLE - MVET,1457,0.065,0.02,0,0.085,20181001,20181231
WESTPORT - MVET,1458,0.065,0.02,0,0.085,20181001,20181231
OCEAN SHORES - MVET,1459,0.065,0.02,0,0.085,20181001,20181231
ISLAND COUNTY,1500,0.065,0.022,0,0.087,20181001,20181231
COUPEVILLE,1501,0.065,0.022,0,0.087,20181001,20181231
LANGLEY,1502,0.065,0.022,0,0.087,20181001,20181231
OAK HARBOR,1503,0.065,0.022,0,0.087,20181001,20181231
JEFFERSON COUNTY,1600,0.065,0.025,0,0.09,20181001,20181231
PORT TOWNSEND,1601,0.065,0.025,0,0.09,20181001,20181231
JEFFERSON COUNTY - MVET,1650,0.065,0.022,0,0.087,20181001,20181231
PORT TOWNSEND - MVET,1651,0.065,0.022,0,0.087,20181001,20181231
KING COUNTY RTA,1700,0.065,0.035,0,0.1,20181001,20181231
ALGONA,1701,0.065,0.035,0,0.1,20181001,20181231
AUBURN/KING RTA,1702,0.065,0.035,0,0.1,20181001,20181231
BEAUX ARTS VILLAGE,1703,0.065,0.035,0,0.1,20181001,20181231
BELLEVUE RTA,1704,0.065,0.035,0,0.1,20181001,20181231
